"";"unacceptable_antigens";"vpra";"count";"frequency"
"117";"A1 A2 A23 A24 A25 A32 A68 A69 A80 B51 B52 B44 B45 B13 B62 B63 B75 B76 B77 B38 B57 B58 B49 B50 B27 B35 B37 B60 B61 B41 B47 B53 B59 B82 Cw2 Cw5 Cw6 Cw8 Cw15 Cw17 Cw18 DR4 DR11 DR7 DQ3";99,34;1;0,000145011600928074
"118";"A1 A2 A23 A24 A25 A32 A68 A69 A80 B51 B52 B44 B45 B63 B76 B77 B38 B57 B58 B18 B49 B27 B37 B47 B53 B59 DR17 DR18 DR11 DR12 DR13 DR14 DR8 DR52 DQ7";98,72;1;0,000145011600928074
"119";"A1 A2 A23 A24 A25 A32 A69 B51 B52 B8 B44 B45 B13 B62 B63 B75 B76 B77 B71 B72 B38 B57 B58 B18 B49 B50 B27 B35 B37 B60 B61 B41 B47 B48 B53 B59 B78 B82 DR2 DR11 DR6";99,78;1;0,000145011600928074
"120";"A1 A2 A23 A24 A25 A34 A32 A33 A28 B5 B8 B44 B45 B13 B14 B15 B70 B38 B39 B17 B18 B49 B50 B54 B27 B35 B37 B47 B53 B59 B78 Bw4 DR3 DR11 DR12 DR6 DR8 DR9 DR52 DQ7 DQ9 DQ4";99,63;1;0,000145011600928074
"121";"A1 A2 A23 A24 A25 A34 A66 A11 A29 A32 A68 A69 A36 A43 B52 B7 B8 B44 B45 B13 B64 B62 B63 B75 B76 B77 B71 B72 B57 B58 B49 B50 B54 B55 B56 B27 B37 B60 B61 B41 B42 B46 B47 B48 B67 B73 B81 B82 Cw1 Cw2 Cw10 Cw9 Cw7 Cw8 Cw14 Cw17 DR1 DR17 DR18 DR11 DR12 DR13 DR14 DR7 DR8 DR9 DR10 DR52 DQ7";100;1;0,000145011600928074
"122";"A1 A2 A23 A24 A25 A34 A66 A11 A29 A68 A69 A36 A80 B7 B8 B44 B45 B13 B76 B57 B58 B49 B50 B55 B56 B27 B37 B60 B61 B41 B42 B47 B48 B67 B73 B81 B82 Cw2 Cw4 Cw5 Cw6 Cw7 Cw15 Cw18 DR3 DQ2";99,95;1;0,000145011600928074
"123";"A1 A2 A23 A24 A25 A66 A29 A32 A69 B5 B7 B8 B45 B13 B14 B15 B70 B16 B57 B58 B18 B21 B22 B27 B35 B37 B40 B41 B42 B47 B48 B53 B59 B67 B73 B78 B81 B82 Cw2 Cw17 DR1 DR15 DR3 DR5 DR6 DR52";100;1;0,000145011600928074
"124";"A1 A2 A23 A24 A25 A66 A32 A68 A69 B5 B7 B44 B45 B13 B15 B38 B17 B21 B27 B37 B40 B41 B46 B47 B48 B53 B59 B73 B81 B82 Bw4 Cw2 DR15 DR16 DR14 DQ1";99,7;1;0,000145011600928074
"125";"A1 A2 A23 A24 A25 A68 A69 A80 B51 B52 B44 B45 B13 B64 B65 B62 B63 B75 B76 B77 B71 B72 B38 B39 B57 B58 B18 B49 B50 B54 B55 B56 B27 B37 B60 B61 B41 B46 B47 B53 B59 B67 B78 B82 Cw2 Cw4 Cw5 Cw6 Cw15 Cw17 Cw18 DR17 DR18 DR11 DR12 DR13 DR14 DR7 DR8 DR9 DQ5 DQ8 DQ9";99,77;1;0,000145011600928074
"126";"A1 A2 A23 A24 A28 B45 B37 Cw5 Cw6 DR8";89,17;1;0,000145011600928074
