time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2
7727	1.1324159118	-1.687104883	-3.425713956	1.1324159118	-1.794911305
7728	1.1324887495	-1.687280408	-3.426344202	1.1324887495	-1.795105489
7729	1.1325615777	-1.68745591	-3.426974367	1.1325615777	-1.795299648
7730	1.1326343965	-1.68763139	-3.42760445	1.1326343965	-1.795493783
7731	1.1327072059	-1.687806847	-3.428234451	1.1327072059	-1.795687892
7732	1.1327800059	-1.687982281	-3.428864371	1.1327800059	-1.795881975
7733	1.1328527965	-1.688157693	-3.42949421	1.1328527965	-1.796076034
7734	1.1329255776	-1.688333082	-3.430123967	1.1329255776	-1.796270068
7735	1.1329983493	-1.688508448	-3.430753643	1.1329983493	-1.796464077
7736	1.1330711117	-1.688683792	-3.431383237	1.1330711117	-1.79665806
7737	1.1331438646	-1.688859113	-3.43201275	1.1331438646	-1.796852019
7738	1.1332166081	-1.689034411	-3.432642182	1.1332166081	-1.797045952
7739	1.1332893423	-1.689209687	-3.433271532	1.1332893423	-1.79723986
7740	1.133362067	-1.68938494	-3.433900801	1.133362067	-1.797433743
7741	1.1334347823	-1.68956017	-3.434529988	1.1334347823	-1.797627602
7742	1.1335074883	-1.689735378	-3.435159095	1.1335074883	-1.797821435
7743	1.1335801848	-1.689910563	-3.43578812	1.1335801848	-1.798015243
7744	1.133652872	-1.690085725	-3.436417064	1.133652872	-1.798209026
7745	1.1337255497	-1.690260865	-3.437045926	1.1337255497	-1.798402784
7746	1.1337982181	-1.690435982	-3.437674708	1.1337982181	-1.798596517
7747	1.1338708771	-1.690611077	-3.438303408	1.1338708771	-1.798790225
7748	1.1339435268	-1.690786149	-3.438932027	1.1339435268	-1.798983908
7749	1.134016167	-1.690961198	-3.439560565	1.134016167	-1.799177567
7750	1.1340887979	-1.691136225	-3.440189022	1.1340887979	-1.7993712
7751	1.1341614194	-1.691311229	-3.440817398	1.1341614194	-1.799564808
7752	1.1342340316	-1.691486211	-3.441445692	1.1342340316	-1.799758391
7753	1.1343066344	-1.69166117	-3.442073906	1.1343066344	-1.799951949
7754	1.1343792278	-1.691836107	-3.442702039	1.1343792278	-1.800145482
7755	1.1344518118	-1.692011021	-3.44333009	1.1344518118	-1.80033899
7756	1.1345243865	-1.692185912	-3.443958061	1.1345243865	-1.800532474
7757	1.1345969518	-1.692360781	-3.444585951	1.1345969518	-1.800725932
7758	1.1346695078	-1.692535627	-3.44521376	1.1346695078	-1.800919365
7759	1.1347420545	-1.692710451	-3.445841488	1.1347420545	-1.801112774
7760	1.1348145917	-1.692885252	-3.446469135	1.1348145917	-1.801306157
7761	1.1348871197	-1.693060031	-3.447096701	1.1348871197	-1.801499516
7762	1.1349596383	-1.693234787	-3.447724186	1.1349596383	-1.80169285
7763	1.1350321475	-1.693409521	-3.44835159	1.1350321475	-1.801886159
