time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2	tvc2_rcs1	tvc2_rcs2
188	-0.959165088	1.4263026094	-1.316383568	-0.959165088	1.2941596529	-0.959165088	1.2941596529
189	-0.956179124	1.4260702845	-1.309898842	-0.956179124	1.294649178	-0.956179124	1.294649178
190	-0.953208916	1.4258232519	-1.303420627	-0.953208916	1.2951232296	-0.953208916	1.2951232296
191	-0.9502543	1.4255617334	-1.296948973	-0.9502543	1.2955820245	-0.9502543	1.2955820245
192	-0.947315113	1.4252859469	-1.290483928	-0.947315113	1.2960257761	-0.947315113	1.2960257761
193	-0.944391195	1.4249961063	-1.284025536	-0.944391195	1.2964546938	-0.944391195	1.2964546938
194	-0.941482387	1.4246924215	-1.277573841	-0.941482387	1.2968689831	-0.941482387	1.2968689831
195	-0.938588535	1.4243750987	-1.271128886	-0.938588535	1.2972688462	-0.938588535	1.2972688462
196	-0.935709485	1.4240443402	-1.26469071	-0.935709485	1.2976544813	-0.935709485	1.2976544813
197	-0.932845087	1.4237003447	-1.258259353	-0.932845087	1.2980260836	-0.932845087	1.2980260836
198	-0.929995192	1.4233433075	-1.251834852	-0.929995192	1.2983838445	-0.929995192	1.2983838445
199	-0.927159654	1.4229734202	-1.245417242	-0.927159654	1.2987279522	-0.927159654	1.2987279522
200	-0.92433833	1.422590871	-1.239006558	-0.92433833	1.2990585918	-0.92433833	1.2990585918
201	-0.921531077	1.4221958448	-1.232602832	-0.921531077	1.2993759449	-0.921531077	1.2993759449
202	-0.918737756	1.4217885234	-1.226206097	-0.918737756	1.2996801902	-0.918737756	1.2996801902
203	-0.915958229	1.4213690851	-1.219816381	-0.915958229	1.2999715033	-0.915958229	1.2999715033
204	-0.913192361	1.4209377053	-1.213433715	-0.913192361	1.3002500568	-0.913192361	1.3002500568
205	-0.910440018	1.4204945562	-1.207058125	-0.910440018	1.3005160204	-0.910440018	1.3005160204
206	-0.907701069	1.4200398072	-1.200689637	-0.907701069	1.3007695608	-0.907701069	1.3007695608
207	-0.904975383	1.4195736245	-1.194328278	-0.904975383	1.3010108421	-0.904975383	1.3010108421
208	-0.902262833	1.4190961717	-1.18797407	-0.902262833	1.3012400256	-0.902262833	1.3012400256
209	-0.899563293	1.4186076095	-1.181627038	-0.899563293	1.3014572698	-0.899563293	1.3014572698
210	-0.896876638	1.4181080957	-1.175287201	-0.896876638	1.3016627307	-0.896876638	1.3016627307
211	-0.894202747	1.4175977857	-1.168954582	-0.894202747	1.3018565616	-0.894202747	1.3018565616
212	-0.891541498	1.417076832	-1.162629199	-0.891541498	1.3020389135	-0.891541498	1.3020389135
